NET	STA	latitude	longitude	PVG_150_probability	PVG_150_depth_km
G	SCZ	36.5980	-121.4030	0.9170	145
IM	NV31	38.4328	-118.1554	0.7820	149
IM	TX31	29.3343	-103.6677	0.8153	124
IU	ANMO	34.9459	-106.4572	0.9017	142
IU	COLA	64.8736	-147.8616	0.9997	151
IU	POHA	19.7573	-155.5326	1.0000	174
IU	RSSD	44.1212	-104.0359	0.7353	159
NE	BRYW	41.9199	-71.5342	0.9860	151
NE	EMMW	44.7102	-67.4580	0.8143	150
US	BOZ	45.5970	-111.6297	0.8130	142
US	CBN	38.2046	-77.3732	0.7503	158
US	DUG	40.1950	-112.8133	0.9900	128
US	ELK	40.7448	-115.2388	0.7103	136
US	HLID	43.5625	-114.4138	0.9667	137
US	MVCO	37.1996	-108.4925	0.9730	170
US	NEW	48.2642	-117.1227	0.7813	143
US	WDC	40.5800	-122.5397	1.0000	117
